,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
,,2 Years to < 3 Years,,152,126,12,0,1,14,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,91,69,7,1,1,14,0,0,0,0,0,0,0,0,0
,,5 or More Years,,131,99,21,0,3,8,3,0,0,0,0,0,0,0,0
,Michigan,All Time,,939,772,88,4,19,71,11,0,0,0,0,0,0,0,0
,,< 30 Days,,53,45,5,0,1,1,3,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,66,56,8,0,5,3,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,77,61,9,1,3,6,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,127,107,14,1,2,6,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,243,209,12,1,3,19,2,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,152,126,12,0,1,14,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,91,69,7,1,1,14,0,0,0,0,0,0,0,0,0
,,5 or More Years,,131,99,21,0,3,8,3,0,0,0,0,0,0,0,0
MNAN-TX1 Abbott Northwestern Hospital,All Center States,All Time,,155,151,0,0,0,4,0,0,0,0,0,0,0,0,0
,,< 30 Days,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,11,9,0,0,0,2,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,40,38,0,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0
,Minnesota,All Time,,155,151,0,0,0,4,0,0,0,0,0,0,0,0,0
,,< 30 Days,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,11,9,0,0,0,2,0,0,0,0,0,0,0,0,0
,,
,,6 Months to < 1 Year,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,40,38,0,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0
MNCM-TX1 Children's Minnesota,All Center States,All Time,,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0
,,< 30 Days,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,Minnesota,All Time,,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0
,,< 30 Days,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
MNHC-TX1 Hennepin County Medical Center,All Center States,All Time,,292,292,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0
,Minnesota,All Time,,292,292,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),All Center States,All Time,,"1,089",870,93,43,45,67,29,7,0,0,0,0,1,0,0
,,< 30 Days,,53,31,17,1,1,3,4,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,99,71,21,0,3,7,3,2,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,114,93,10,7,4,3,2,1,0,0,0,0,0,0,0
,,
,,6 Months to < 1 Year,,139,126,3,7,5,1,1,0,0,0,0,0,1,0,0
,,1 Year to < 2 Years,,230,186,16,9,9,12,8,1,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,179,150,9,12,11,5,3,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,166,142,6,3,10,15,2,1,0,0,0,0,0,0,0
,,5 or More Years,,111,71,11,4,2,21,6,2,0,0,0,0,0,0,0
,Minnesota,All Time,,"1,089",870,93,43,45,67,29,7,0,0,0,0,1,0,0
,,< 30 Days,,53,31,17,1,1,3,4,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,99,71,21,0,3,7,3,2,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,114,93,10,7,4,3,2,1,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,139,126,3,7,5,1,1,0,0,0,0,0,1,0,0
,,1 Year to < 2 Years,,230,186,16,9,9,12,8,1,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,179,150,9,12,11,5,3,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,166,142,6,3,10,15,2,1,0,0,0,0,0,0,0
,,5 or More Years,,111,71,11,4,2,21,6,2,0,0,0,0,0,0,0
"MNUM-TX1 University of Minnesota Medical Center, Fairview",All Center States,All Time,,"1,055",809,97,88,116,40,33,0,0,0,0,0,0,0,0
,,< 30 Days,,39,26,6,3,3,2,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,58,30,15,5,2,3,6,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,85,57,17,5,5,5,3,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,87,68,15,2,13,3,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,234,192,15,12,31,7,10,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,159,132,12,6,20,7,4,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,159,124,8,15,17,8,4,0,0,0,0,0,0,0,0
,,5 or More Years,,234,180,9,40,25,5,3,0,0,0,0,0,0,0,0
,Minnesota,All Time,,"1,055",809,97,88,116,40,33,0,0,0,0,0,0,0,0
,,< 30 Days,,39,26,6,3,3,2,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,58,30,15,5,2,3,6,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,85,57,17,5,5,5,3,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,87,68,15,2,13,3,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,234,192,15,12,31,7,10,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,159,132,12,6,20,7,4,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,159,124,8,15,17,8,4,0,0,0,0,0,0,0,0
,,5 or More Years,,234,180,9,40,25,5,3,0,0,0,0,0,0,0,0
MOBH-TX1 Barnes-Jewish Hospital,All Center States,All Time,,848,746,44,2,19,24,14,4,0,0,0,0,0,0,0
,,< 30 Days,,62,37,16,2,2,0,5,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,63,50,8,0,2,3,2,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,108,89,6,0,3,7,3,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,104,96,4,0,3,0,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,195,178,5,0,6,6,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,97,91,1,0,1,3,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,100,97,0,0,0,3,1,0,0,0,0,0,0,0,0
,,5 or More Years,,119,108,4,0,2,2,0,4,0,0,0,0,0,0,0
,,
,Missouri,All Time,,848,746,44,2,19,24,14,4,0,0,0,0,0,0,0
,,< 30 Days,,62,37,16,2,2,0,5,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,63,50,8,0,2,3,2,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,108,89,6,0,3,7,3,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,104,96,4,0,3,0,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,195,178,5,0,6,6,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,97,91,1,0,1,3,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,100,97,0,0,0,3,1,0,0,0,0,0,0,0,0
,,5 or More Years,,119,108,4,0,2,2,0,4,0,0,0,0,0,0,0
MOCG-TX1 Cardinal Glennon Children's Hospital,All Center States,All Time,,18,5,4,0,0,9,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Missouri,All Time,,18,5,4,0,0,9,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,All Center States,All Time,,23,6,8,0,0,9,4,1,0,0,0,0,0,0,0
,,< 30 Days,,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,8,2,4,0,0,5,1,1,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,,5 or More Years,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Missouri,All Time,,23,6,8,0,0,9,4,1,0,0,0,0,0,0,0
,,< 30 Days,,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,8,2,4,0,0,5,1,1,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,
,,3 Years to < 5 Years,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,,5 or More Years,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MOCM-TX1 Children's Mercy Hospital,All Center States,All Time,,62,58,0,0,0,4,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,13,10,0,0,0,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Missouri,All Time,,62,58,0,0,0,4,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,13,10,0,0,0,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MODU-TX1 DePaul Health Center,All Center States,All Time,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,Missouri,All Time,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
MOJM-TX1 St Johns Mercy Medical Center,All Center States,All Time,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Missouri,All Time,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLH-TX1 St Luke's Hospital of Kansas City,All Center States,All Time,,265,220,31,0,0,15,0,0,0,0,0,0,0,0,0
,,< 30 Days,,13,10,1,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,26,22,3,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,27,19,6,0,0,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,64,53,8,0,0,3,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,66,60,5,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,34,28,3,0,0,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,31,25,5,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0
,Missouri,All Time,,265,220,31,0,0,15,0,0,0,0,0,0,0,0,0
,,< 30 Days,,13,10,1,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,26,22,3,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,27,19,6,0,0,3,0,0,0,0,0,0,0,0,0
,,
,,6 Months to < 1 Year,,64,53,8,0,0,3,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,66,60,5,0,0,1,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,34,28,3,0,0,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,31,25,5,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0
MORH-TX1 Research Medical Center,All Center States,All Time,,138,135,0,0,3,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,12,11,0,0,1,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,12,10,0,0,2,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,Missouri,All Time,,138,135,0,0,3,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,12,11,0,0,1,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,12,10,0,0,2,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSL-TX1 SSM Health Saint Louis University Hospital,All Center States,All Time,,171,139,30,0,2,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,13,9,3,0,1,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,23,11,12,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,46,41,5,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,35,33,1,0,1,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Missouri,All Time,,171,139,30,0,2,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,13,9,3,0,1,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,23,11,12,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,46,41,5,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,35,33,1,0,1,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
MOUM-TX1 University of Missouri Hospital and Clinics,All Center States,All Time,,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,Missouri,All Time,,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
MSUM-TX1 University of Mississippi Medical Center,All Center States,All Time,,945,899,32,0,6,19,0,0,0,0,0,0,0,0,0
,,< 30 Days,,29,26,2,0,1,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,62,58,4,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,121,113,5,0,1,2,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,121,108,12,0,1,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,262,250,6,0,2,8,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,155,150,2,0,0,4,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,113,111,1,0,1,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,84,83,0,0,0,1,0,0,0,0,0,0,0,0,0
,Mississippi,All Time,,945,899,32,0,6,19,0,0,0,0,0,0,0,0,0
,,< 30 Days,,29,26,2,0,1,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,62,58,4,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,121,113,5,0,1,2,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,121,108,12,0,1,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,262,250,6,0,2,8,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,155,150,2,0,0,4,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,113,111,1,0,1,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,84,83,0,0,0,1,0,0,0,0,0,0,0,0,0
NCBG-TX1 Wake Forest Baptist Medical Center,All Center States,All Time,,702,685,0,35,29,11,0,0,0,0,0,0,0,0,0
,,< 30 Days,,22,19,0,1,1,3,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,33,31,0,2,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,56,55,0,4,4,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,104,100,0,10,8,2,0,0,0,0,0,0,0,0,0
,,
,,1 Year to < 2 Years,,195,193,0,12,12,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,147,144,0,3,2,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,103,103,0,1,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,42,40,0,2,1,1,0,0,0,0,0,0,0,0,0
,North Carolina,All Time,,702,685,0,35,29,11,0,0,0,0,0,0,0,0,0
,,< 30 Days,,22,19,0,1,1,3,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,33,31,0,2,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,56,55,0,4,4,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,104,100,0,10,8,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,195,193,0,12,12,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,147,144,0,3,2,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,103,103,0,1,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,42,40,0,2,1,1,0,0,0,0,0,0,0,0,0
NCCM-TX1 Carolinas Medical Center,All Center States,All Time,,703,569,108,0,18,24,0,0,0,0,0,0,0,0,0
,,< 30 Days,,35,21,9,0,2,4,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,44,36,8,0,1,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,69,49,12,0,6,4,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,104,82,19,0,3,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,160,131,24,0,4,6,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,95,78,15,0,0,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,100,90,6,0,1,4,0,0,0,0,0,0,0,0,0
,,5 or More Years,,97,82,15,0,1,0,0,0,0,0,0,0,0,0,0
,North Carolina,All Time,,703,569,108,0,18,24,0,0,0,0,0,0,0,0,0
,,< 30 Days,,35,21,9,0,2,4,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,44,36,8,0,1,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,69,49,12,0,6,4,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,104,82,19,0,3,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,160,131,24,0,4,6,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,95,78,15,0,0,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,100,90,6,0,1,4,0,0,0,0,0,0,0,0,0
,,5 or More Years,,97,82,15,0,1,0,0,0,0,0,0,0,0,0,0
NCDU-TX1 Duke University Hospital,All Center States,All Time,,711,627,36,5,7,37,10,1,5,1,0,0,0,1,0
,,< 30 Days,,52,32,7,0,4,7,6,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,76,56,8,0,1,8,4,1,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,92,82,6,1,0,3,0,0,1,0,0,0,0,0,0
,,6 Months to < 1 Year,,110,97,9,0,0,3,0,0,1,0,0,0,0,0,0
,,1 Year to < 2 Years,,149,142,3,3,1,5,0,0,2,1,0,0,0,0,0
,,2 Years to < 3 Years,,115,108,1,1,0,5,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,80,76,1,0,0,2,0,0,0,0,0,0,0,1,0
