Center,Center_Code,Center_Name,States,Time_Waited,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,All Center States,2 Years to < 3 Years,28,0,0.0,0,0
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,All Center States,3 Years to < 5 Years,24,0,0.0,0,0
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,All Center States,5 or More Years,33,0,0.0,0,0
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,Minnesota,All Time,151,0,0.0,0,4
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,Minnesota,< 30 Days,6,0,0.0,0,0
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,Minnesota,30 to < 90 Days,4,0,0.0,0,0
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,Minnesota,90 Days to < 6 Months,9,0,0.0,0,2
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,Minnesota,90 Days to < 6 Months,9,0,0.0,0,2
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,Minnesota,6 Months to < 1 Year,9,0,0.0,0,0
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,Minnesota,1 Year to < 2 Years,38,0,0.0,0,2
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,Minnesota,2 Years to < 3 Years,28,0,0.0,0,0
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,Minnesota,3 Years to < 5 Years,24,0,0.0,0,0
MNAN-TX1 Abbott Northwestern Hospital,MNAN-TX1,Abbott Northwestern Hospital,Minnesota,5 or More Years,33,0,0.0,0,0
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,All Center States,All Time,0,0,0.0,0,11
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,All Center States,< 30 Days,0,0,0.0,0,2
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,All Center States,30 to < 90 Days,0,0,0.0,0,1
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,All Center States,90 Days to < 6 Months,0,0,0.0,0,1
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,All Center States,6 Months to < 1 Year,0,0,0.0,0,2
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,All Center States,1 Year to < 2 Years,0,0,0.0,0,2
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,All Center States,2 Years to < 3 Years,0,0,0.0,0,3
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,Minnesota,All Time,0,0,0.0,0,11
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,Minnesota,< 30 Days,0,0,0.0,0,2
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,Minnesota,30 to < 90 Days,0,0,0.0,0,1
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,Minnesota,90 Days to < 6 Months,0,0,0.0,0,1
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,Minnesota,6 Months to < 1 Year,0,0,0.0,0,2
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,Minnesota,1 Year to < 2 Years,0,0,0.0,0,2
MNCM-TX1 Children's Minnesota,MNCM-TX1,Children's Minnesota,Minnesota,2 Years to < 3 Years,0,0,0.0,0,3
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,All Center States,All Time,292,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,All Center States,< 30 Days,9,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,All Center States,30 to < 90 Days,14,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,All Center States,90 Days to < 6 Months,16,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,All Center States,6 Months to < 1 Year,12,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,All Center States,1 Year to < 2 Years,52,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,All Center States,2 Years to < 3 Years,44,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,All Center States,3 Years to < 5 Years,78,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,All Center States,5 or More Years,67,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,Minnesota,All Time,292,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,Minnesota,< 30 Days,9,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,Minnesota,30 to < 90 Days,14,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,Minnesota,90 Days to < 6 Months,16,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,Minnesota,6 Months to < 1 Year,12,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,Minnesota,1 Year to < 2 Years,52,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,Minnesota,2 Years to < 3 Years,44,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,Minnesota,3 Years to < 5 Years,78,0,0.0,0,0
MNHC-TX1 Hennepin County Medical Center,MNHC-TX1,Hennepin County Medical Center,Minnesota,5 or More Years,67,0,0.0,0,0
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),All Center States,All Time,870,93,43.0,45,67
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),All Center States,< 30 Days,31,17,1.0,1,3
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),All Center States,30 to < 90 Days,71,21,0.0,3,7
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),All Center States,90 Days to < 6 Months,93,10,7.0,4,3
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),All Center States,90 Days to < 6 Months,93,10,7.0,4,3
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),All Center States,6 Months to < 1 Year,126,3,7.0,5,1
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),All Center States,1 Year to < 2 Years,186,16,9.0,9,12
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),All Center States,2 Years to < 3 Years,150,9,12.0,11,5
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),All Center States,3 Years to < 5 Years,142,6,3.0,10,15
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),All Center States,5 or More Years,71,11,4.0,2,21
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),Minnesota,All Time,870,93,43.0,45,67
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),Minnesota,< 30 Days,31,17,1.0,1,3
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),Minnesota,30 to < 90 Days,71,21,0.0,3,7
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),Minnesota,90 Days to < 6 Months,93,10,7.0,4,3
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),Minnesota,6 Months to < 1 Year,126,3,7.0,5,1
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),Minnesota,1 Year to < 2 Years,186,16,9.0,9,12
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),Minnesota,2 Years to < 3 Years,150,9,12.0,11,5
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),Minnesota,3 Years to < 5 Years,142,6,3.0,10,15
MNMC-TX1 Rochester Methodist Hospital (Mayo Clinic),MNMC-TX1,Rochester Methodist Hospital (Mayo Clinic),Minnesota,5 or More Years,71,11,4.0,2,21
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",All Center States,All Time,809,97,88.0,116,40
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",All Center States,< 30 Days,26,6,3.0,3,2
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",All Center States,30 to < 90 Days,30,15,5.0,2,3
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",All Center States,90 Days to < 6 Months,57,17,5.0,5,5
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",All Center States,6 Months to < 1 Year,68,15,2.0,13,3
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",All Center States,1 Year to < 2 Years,192,15,12.0,31,7
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",All Center States,2 Years to < 3 Years,132,12,6.0,20,7
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",All Center States,3 Years to < 5 Years,124,8,15.0,17,8
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",All Center States,5 or More Years,180,9,40.0,25,5
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",Minnesota,All Time,809,97,88.0,116,40
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",Minnesota,< 30 Days,26,6,3.0,3,2
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",Minnesota,30 to < 90 Days,30,15,5.0,2,3
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",Minnesota,90 Days to < 6 Months,57,17,5.0,5,5
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",Minnesota,6 Months to < 1 Year,68,15,2.0,13,3
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",Minnesota,1 Year to < 2 Years,192,15,12.0,31,7
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",Minnesota,2 Years to < 3 Years,132,12,6.0,20,7
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",Minnesota,3 Years to < 5 Years,124,8,15.0,17,8
"MNUM-TX1 University of Minnesota Medical Center, Fairview",MNUM-TX1,"University of Minnesota Medical Center, Fairview",Minnesota,5 or More Years,180,9,40.0,25,5
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,All Center States,All Time,746,44,2.0,19,24
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,All Center States,< 30 Days,37,16,2.0,2,0
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,All Center States,30 to < 90 Days,50,8,0.0,2,3
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,All Center States,90 Days to < 6 Months,89,6,0.0,3,7
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,All Center States,6 Months to < 1 Year,96,4,0.0,3,0
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,All Center States,1 Year to < 2 Years,178,5,0.0,6,6
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,All Center States,2 Years to < 3 Years,91,1,0.0,1,3
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,All Center States,3 Years to < 5 Years,97,0,0.0,0,3
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,All Center States,5 or More Years,108,4,0.0,2,2
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,All Center States,5 or More Years,108,4,0.0,2,2
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,Missouri,All Time,746,44,2.0,19,24
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,Missouri,< 30 Days,37,16,2.0,2,0
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,Missouri,30 to < 90 Days,50,8,0.0,2,3
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,Missouri,90 Days to < 6 Months,89,6,0.0,3,7
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,Missouri,6 Months to < 1 Year,96,4,0.0,3,0
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,Missouri,1 Year to < 2 Years,178,5,0.0,6,6
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,Missouri,2 Years to < 3 Years,91,1,0.0,1,3
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,Missouri,3 Years to < 5 Years,97,0,0.0,0,3
MOBH-TX1 Barnes-Jewish Hospital,MOBH-TX1,Barnes-Jewish Hospital,Missouri,5 or More Years,108,4,0.0,2,2
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,All Center States,All Time,5,4,0.0,0,9
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,All Center States,30 to < 90 Days,1,0,0.0,0,1
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,All Center States,90 Days to < 6 Months,0,0,0.0,0,3
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,All Center States,6 Months to < 1 Year,1,0,0.0,0,3
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,All Center States,1 Year to < 2 Years,1,2,0.0,0,1
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,All Center States,2 Years to < 3 Years,1,1,0.0,0,0
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,All Center States,3 Years to < 5 Years,1,0,0.0,0,1
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,All Center States,5 or More Years,0,1,0.0,0,0
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,Missouri,All Time,5,4,0.0,0,9
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,Missouri,30 to < 90 Days,1,0,0.0,0,1
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,Missouri,90 Days to < 6 Months,0,0,0.0,0,3
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,Missouri,6 Months to < 1 Year,1,0,0.0,0,3
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,Missouri,1 Year to < 2 Years,1,2,0.0,0,1
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,Missouri,2 Years to < 3 Years,1,1,0.0,0,0
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,Missouri,3 Years to < 5 Years,1,0,0.0,0,1
MOCG-TX1 Cardinal Glennon Children's Hospital,MOCG-TX1,Cardinal Glennon Children's Hospital,Missouri,5 or More Years,0,1,0.0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,All Center States,All Time,6,8,0.0,0,9
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,All Center States,< 30 Days,1,2,0.0,0,1
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,All Center States,30 to < 90 Days,2,4,0.0,0,5
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,All Center States,90 Days to < 6 Months,0,2,0.0,0,1
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,All Center States,6 Months to < 1 Year,2,0,0.0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,All Center States,1 Year to < 2 Years,0,0,0.0,0,1
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,All Center States,2 Years to < 3 Years,0,0,0.0,0,1
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,All Center States,3 Years to < 5 Years,1,0,0.0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,All Center States,5 or More Years,0,0,0.0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,Missouri,All Time,6,8,0.0,0,9
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,Missouri,< 30 Days,1,2,0.0,0,1
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,Missouri,30 to < 90 Days,2,4,0.0,0,5
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,Missouri,90 Days to < 6 Months,0,2,0.0,0,1
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,Missouri,6 Months to < 1 Year,2,0,0.0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,Missouri,1 Year to < 2 Years,0,0,0.0,0,1
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,Missouri,2 Years to < 3 Years,0,0,0.0,0,1
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,Missouri,2 Years to < 3 Years,0,0,0.0,0,1
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,Missouri,3 Years to < 5 Years,1,0,0.0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,Missouri,5 or More Years,0,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,All Center States,All Time,58,0,0.0,0,4
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,All Center States,< 30 Days,6,0,0.0,0,1
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,All Center States,30 to < 90 Days,5,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,All Center States,90 Days to < 6 Months,9,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,All Center States,6 Months to < 1 Year,5,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,All Center States,1 Year to < 2 Years,10,0,0.0,0,3
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,All Center States,2 Years to < 3 Years,15,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,All Center States,3 Years to < 5 Years,5,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,All Center States,5 or More Years,3,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,Missouri,All Time,58,0,0.0,0,4
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,Missouri,< 30 Days,6,0,0.0,0,1
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,Missouri,30 to < 90 Days,5,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,Missouri,90 Days to < 6 Months,9,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,Missouri,6 Months to < 1 Year,5,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,Missouri,1 Year to < 2 Years,10,0,0.0,0,3
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,Missouri,2 Years to < 3 Years,15,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,Missouri,3 Years to < 5 Years,5,0,0.0,0,0
MOCM-TX1 Children's Mercy Hospital,MOCM-TX1,Children's Mercy Hospital,Missouri,5 or More Years,3,0,0.0,0,0
MODU-TX1 DePaul Health Center,MODU-TX1,DePaul Health Center,All Center States,All Time,15,0,0.0,0,0
MODU-TX1 DePaul Health Center,MODU-TX1,DePaul Health Center,All Center States,5 or More Years,15,0,0.0,0,0
MODU-TX1 DePaul Health Center,MODU-TX1,DePaul Health Center,Missouri,All Time,15,0,0.0,0,0
MODU-TX1 DePaul Health Center,MODU-TX1,DePaul Health Center,Missouri,5 or More Years,15,0,0.0,0,0
MOJM-TX1 St Johns Mercy Medical Center,MOJM-TX1,St Johns Mercy Medical Center,All Center States,All Time,5,0,0.0,0,0
MOJM-TX1 St Johns Mercy Medical Center,MOJM-TX1,St Johns Mercy Medical Center,All Center States,5 or More Years,5,0,0.0,0,0
MOJM-TX1 St Johns Mercy Medical Center,MOJM-TX1,St Johns Mercy Medical Center,Missouri,All Time,5,0,0.0,0,0
MOJM-TX1 St Johns Mercy Medical Center,MOJM-TX1,St Johns Mercy Medical Center,Missouri,5 or More Years,5,0,0.0,0,0
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,All Center States,All Time,220,31,0.0,0,15
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,All Center States,< 30 Days,10,1,0.0,0,2
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,All Center States,30 to < 90 Days,22,3,0.0,0,1
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,All Center States,90 Days to < 6 Months,19,6,0.0,0,3
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,All Center States,6 Months to < 1 Year,53,8,0.0,0,3
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,All Center States,1 Year to < 2 Years,60,5,0.0,0,1
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,All Center States,2 Years to < 3 Years,28,3,0.0,0,3
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,All Center States,3 Years to < 5 Years,25,5,0.0,0,1
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,All Center States,5 or More Years,3,0,0.0,0,1
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,Missouri,All Time,220,31,0.0,0,15
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,Missouri,< 30 Days,10,1,0.0,0,2
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,Missouri,30 to < 90 Days,22,3,0.0,0,1
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,Missouri,90 Days to < 6 Months,19,6,0.0,0,3
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,Missouri,90 Days to < 6 Months,19,6,0.0,0,3
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,Missouri,6 Months to < 1 Year,53,8,0.0,0,3
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,Missouri,1 Year to < 2 Years,60,5,0.0,0,1
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,Missouri,2 Years to < 3 Years,28,3,0.0,0,3
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,Missouri,3 Years to < 5 Years,25,5,0.0,0,1
MOLH-TX1 St Luke's Hospital of Kansas City,MOLH-TX1,St Luke's Hospital of Kansas City,Missouri,5 or More Years,3,0,0.0,0,1
MORH-TX1 Research Medical Center,MORH-TX1,Research Medical Center,All Center States,All Time,135,0,0.0,3,0
